Title;Year;GG-Drama;GG-DramaW;GG-Comedy;GG-ComedyW;GG-DramaM1;GG-DramaM1W;GG-ComedyM1;GG-ComedyM1W;GG-DramaK1;GG-DramaK1W;GG-ComedyK1;GG-ComedyK1W;GG-M2;GG-M2W;GG-K2;GG-K2W;GG-Dir;GG-DirW;GG-Screen;GG-ScreenW;GG-Music;GG-MusicW;B-Film;B-FilmW;B-M1;B-M1W;B-K1;B-K1W;B-M2;B-M2W;B-K2;B-K2W;B-Dir;B-DirW;B-ScreenO;B-ScreenOW;B-ScreenA;B-ScreenAW;B-Zdj;B-ZdjW;B-Music;B-MusicW;B-Scen;B-ScenW;B-Kost;B-KostW;B-Mon;B-MonW;B-ChF;B-ChFW;B-Efekty;B-EfektyW;B-Sound;B-SoundW;CC-Film;CC-FilmW;CC-Komedia;CC-KomediaW;CC-K1;CC-K1W;CC-M1;CC-M1W;CC-K2;CC-K2W;CC-M2;CC-M2W;CC-Dir;CC-DirW;CC-ScreenA;CC-ScreenAW;CC-ScreenO;CC-ScreenOW;CC-Music;CC-MusicW;CC-Scen;CC-ScenW;CC-Kost;CC-KostW;CC-Zdj;CC-ZdjW;CC-Mon;CC-MonW;CC-Efekty;CC-EfektyW;CC-ChF;CC-ChFW;PGA;PGAW;DGA;DGAW;SAG-team;SAG-teamW;SAG-M1;SAG-M1W;SAG-K1;SAG-K1W;SAG-M2;SAG-M2W;SAG-K2;SAG-K2W;WGA-ScreenO;WGA-ScreenOW;WGA-ScreenA;WGA-ScreenAW;ADG;ADGW;CDG;CDGW;ZS;ZSW;ASC;ASCW;ACE;ACEW;O-Film;O-FilmW;O-Dir;O-DirW;O-M1;O-M1W;O-K1;O-K1W;O-M2;O-M2W;O-K2;O-K2W;O-ScreenO;O-ScreenOW;O-ScreenA;O-ScreenAW;O-Zdj;O-ZdjW;O-Muzyka;O-MuzykaW;O-Scen;O-ScenW;O-Kost;O-KostW;O-ChF;O-ChFW;O-Efekty;O-EfektyW;O-Mont;O-MontW;O-Sound;O-SoundW
Minari;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;;1;;1;;0;;0;;1;;1;;0;;0;;1;;0;;0;;0;;0;;0;;0;
Greyhound;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;
Mulan;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;1;;0;;0;
Another Round;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;
The Midnight Sky;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;
Nomadland;2021;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;;1;;0;;1;;0;;0;;0;;1;;1;;0;;0;;0;;0;;0;;1;;0;
News of the World;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;1;;1;;1;;0;;0;;0;;0;;1;
Promising. Young. Woman;2021;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;;1;;0;;1;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;1;;0;
The Father;2021;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;0;;1;;0;;0;;1;;0;;1;;0;;0;;1;;0;;0;;0;;1;;0;
One Night in Miami;2021;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;;0;;0;;0;;1;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;
Da 5 Bloods;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;
Pinocchio;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;1;;0;;0;;0;
The Trial of the Chicago 7;2021;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;1;;0;;0;;0;;1;;0;;1;;0;;1;;0;;0;;0;;0;;0;;1;;0;
Sound of Metal;2021;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;;0;;1;;0;;1;;0;;1;;0;;0;;0;;0;;0;;0;;0;;1;;1;
Tenet;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;1;;0;;0;
The United States vs. Billie Holiday;2021;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;
Love and Monsters;2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;
